Date,Close
2022-01-03,7219.60009765625
2022-01-04,7343.0
2022-01-05,7670.7998046875
2022-01-06,7748.25
2022-01-07,7659.35009765625
2022-01-10,7731.2998046875
2022-01-11,7669.85009765625
2022-01-12,7774.5
2022-01-13,7808.35009765625
2022-01-14,7832.2001953125
2022-01-17,7852.60009765625
2022-01-18,7744.0
2022-01-19,7571.7998046875
2022-01-20,7530.25
2022-01-21,7373.75
2022-01-24,6931.75
2022-01-25,6963.75
2022-01-27,6837.0
2022-01-28,6867.25
2022-01-31,7000.25
2022-02-01,7014.60009765625
2022-02-02,7247.4501953125
2022-02-03,7110.64990234375
2022-02-04,7158.39990234375
2022-02-07,6930.60009765625
2022-02-08,7055.0
2022-02-09,7117.35009765625
2022-02-10,7137.0
2022-02-11,7011.60009765625
2022-02-14,6785.9501953125
2022-02-15,7142.0498046875
2022-02-16,7068.60009765625
2022-02-17,7082.4501953125
2022-02-18,7030.10009765625
2022-02-21,7006.35009765625
2022-02-22,7011.35009765625
2022-02-23,7044.5498046875
2022-02-24,6627.7998046875
2022-02-25,6969.39990234375
2022-02-28,7002.2998046875
2022-03-02,6831.5498046875
2022-03-03,6748.35009765625
2022-03-04,6537.89990234375
2022-03-07,6125.0
2022-03-08,6161.85009765625
2022-03-09,6472.5
2022-03-10,6584.89990234375
2022-03-11,6628.0
2022-03-14,6665.4501953125
2022-03-15,6666.5498046875
2022-03-16,6840.60009765625
2022-03-17,6994.39990234375
2022-03-21,6870.39990234375
2022-03-22,6985.7998046875
2022-03-23,7004.7998046875
2022-03-24,6997.5498046875
2022-03-25,6973.5
2022-03-28,7001.39990234375
2022-03-29,7039.35009765625
2022-03-30,7251.85009765625
2022-03-31,7259.9501953125
2022-04-01,7408.10009765625
2022-04-04,7490.64990234375
2022-04-05,7388.4501953125
2022-04-06,7346.9501953125
2022-04-07,7290.2001953125
2022-04-08,7366.60009765625
2022-04-11,7336.64990234375
2022-04-12,7274.5
2022-04-13,7328.4501953125
2022-04-18,7261.4501953125
2022-04-19,7259.5498046875
2022-04-20,7032.5
2022-04-21,7138.10009765625
2022-04-22,7110.75
2022-04-25,7005.5
2022-04-26,7240.5498046875
2022-04-27,6714.10009765625
2022-04-28,6727.64990234375
2022-04-29,6671.7998046875
2022-05-02,6626.14990234375
2022-05-04,6339.75
2022-05-05,6309.4501953125
2022-05-06,6000.2998046875
2022-05-09,6036.9501953125
2022-05-10,5928.4501953125
2022-05-11,5807.0
2022-05-12,5593.39990234375
2022-05-13,5515.75
2022-05-16,5645.39990234375
2022-05-17,5837.2998046875
2022-05-18,5815.2001953125
2022-05-19,5707.0
2022-05-20,5769.60009765625
2022-05-23,5794.0
2022-05-24,5798.7998046875
2022-05-25,5827.39990234375
2022-05-26,5817.7998046875
2022-05-27,5993.5
2022-05-30,6111.2001953125
2022-05-31,6082.14990234375
2022-06-01,6010.14990234375
2022-06-02,6057.85009765625
2022-06-03,6028.2001953125
2022-06-06,6021.0
2022-06-07,5878.60009765625
2022-06-08,5954.2998046875
2022-06-09,5898.5498046875
2022-06-10,5667.5
2022-06-13,5358.25
2022-06-14,5375.75
2022-06-15,5484.9501953125
2022-06-16,5283.89990234375
2022-06-17,5419.5498046875
2022-06-20,5470.4501953125
2022-06-21,5549.14990234375
2022-06-22,5439.60009765625
2022-06-23,5448.14990234375
2022-06-24,5587.75
2022-06-27,5641.2001953125
2022-06-28,5576.25
2022-06-29,5512.7998046875
2022-06-30,5400.5
2022-07-01,5614.39990234375
2022-07-04,5630.2998046875
